indicatorCode,practice,locality,O,n,rt,active,grp
G1,M87001,Halesowen and Quarry Bank Locality,552,2262,0.2440318302387268,TRUE,1
G1,M87002,"Stourbridge, Wollescote and Lye Locality",584,1805,0.3235457063711911,FALSE,2
G1,M87003,"Kingswinford, Amblecote and Brierley Hill Locality",1436,4455,0.322334455667789,TRUE,1
G1,M87005,"Kingswinford, Amblecote and Brierley Hill Locality",808,2880,0.28055555555555556,FALSE,2
G1,M87006,Dudley and Netherton Locality,1035,2204,0.46960072595281305,TRUE,1
G1,M87007,"Sedgley, Coseley & Gornal Locality",1546,2960,0.5222972972972973,FALSE,2
G1,M87008,"Kingswinford, Amblecote and Brierley Hill Locality",537,2256,0.23803191489361702,TRUE,1
G1,,#N/A,NA,NA,NA,FALSE,2
G1,M87009,"Kingswinford, Amblecote and Brierley Hill Locality",1458,4687,0.31107318113932153,TRUE,1
G1,M87010,"Kingswinford, Amblecote and Brierley Hill Locality",816,2301,0.3546284224250326,FALSE,2
G1,M87011,"Stourbridge, Wollescote and Lye Locality",1893,7322,0.25853591914777385,TRUE,1
G1,M87012,"Sedgley, Coseley & Gornal Locality",496,1839,0.2697117998912452,FALSE,2
G1,M87014,Halesowen and Quarry Bank Locality,770,2021,0.3809995051954478,TRUE,1
G1,M87015,"Sedgley, Coseley & Gornal Locality",1031,3040,0.3391447368421053,FALSE,2
G1,M87016,"Sedgley, Coseley & Gornal Locality",465,1888,0.24629237288135594,TRUE,1
G1,M87017,Dudley and Netherton Locality,566,2351,0.24074861760952787,FALSE,2
G1,M87018,"Kingswinford, Amblecote and Brierley Hill Locality",604,2440,0.24754098360655738,TRUE,1
G1,M87019,"Stourbridge, Wollescote and Lye Locality",431,2100,0.20523809523809525,FALSE,2
G1,M87020,Halesowen and Quarry Bank Locality,967,2422,0.3992568125516102,TRUE,1
G1,M87021,"Sedgley, Coseley & Gornal Locality",585,2078,0.2815206929740135,FALSE,2
G1,M87023,"Kingswinford, Amblecote and Brierley Hill Locality",619,2960,0.20912162162162162,TRUE,1
G1,M87024,"Stourbridge, Wollescote and Lye Locality",2558,6617,0.3865800211576243,FALSE,2
G1,M87025,Dudley and Netherton Locality,534,1471,0.36301835486063905,TRUE,1
G1,M87026,Dudley and Netherton Locality,271,1412,0.19192634560906516,FALSE,2
G1,M87027,Halesowen and Quarry Bank Locality,570,1165,0.4892703862660944,TRUE,1
G1,M87028,Dudley and Netherton Locality,429,1993,0.21525338685398895,FALSE,2
G1,M87030,"Stourbridge, Wollescote and Lye Locality",124,1380,0.08985507246376812,TRUE,1
G1,M87034,Halesowen and Quarry Bank Locality,301,971,0.309989701338826,FALSE,2
G1,M87036,Dudley and Netherton Locality,186,791,0.23514538558786346,TRUE,1
G1,M87037,"Sedgley, Coseley & Gornal Locality",264,1763,0.1497447532614861,FALSE,2
G1,M87041,"Kingswinford, Amblecote and Brierley Hill Locality",473,1495,0.31638795986622076,TRUE,1
G1,M87601,Dudley and Netherton Locality,502,1633,0.30740967544396813,FALSE,2
G1,M87602,Halesowen and Quarry Bank Locality,726,2732,0.2657393850658858,TRUE,1
G1,M87605,Dudley and Netherton Locality,227,938,0.2420042643923241,FALSE,2
G1,M87612,Dudley and Netherton Locality,182,610,0.2983606557377049,TRUE,1
G1,M87617,Dudley and Netherton Locality,365,731,0.4993160054719562,FALSE,2
G1,M87618,"Kingswinford, Amblecote and Brierley Hill Locality",327,748,0.43716577540106955,TRUE,1
G1,M87620,"Sedgley, Coseley & Gornal Locality",193,1191,0.16204869857262805,FALSE,2
G1,M87621,"Sedgley, Coseley & Gornal Locality",215,672,0.31994047619047616,TRUE,1
G1,M87623,Halesowen and Quarry Bank Locality,181,633,0.2859399684044234,FALSE,2
G1,M87625,Halesowen and Quarry Bank Locality,158,506,0.31225296442687744,TRUE,1
G1,M87628,"Stourbridge, Wollescote and Lye Locality",98,417,0.23501199040767387,FALSE,2
G1,M87629,"Sedgley, Coseley & Gornal Locality",198,766,0.2584856396866841,TRUE,1
G1,M87638,Halesowen and Quarry Bank Locality,401,1090,0.3678899082568807,FALSE,2
G1,Y01756,Halesowen and Quarry Bank Locality,364,1833,0.19858156028368795,TRUE,1
G1,Y02212,Dudley and Netherton Locality,110,713,0.15427769985974754,FALSE,2
G1,Y02653,"Kingswinford, Amblecote and Brierley Hill Locality",381,1065,0.35774647887323946,TRUE,1
